,ticker,quarter,net_income,total_assets,total_debt,cash,shareholder_equity,shares_outstanding,stock_price,roa,log_assets,leverage,liquidity,market_cap,pb_ratio,btc_price,log_btc_price,hashrate,log_hashrate
1259,OLB,2021q2,-666136.0,12267346.0,465089.0,2051057.0,11300632.0,711707.0,48.7,-0.054301557973501356,16.32245149337239,0.03791276450505268,0.1671964742822123,34660130.9,3.067096680964392,34456.67,10.447457871634283,89177797.47926754,18.306142659384605
1260,OLB,2021q1,-1099857.0,12779155.0,542247.0,2390822.0,11887275.0,629985.0,50.7,-0.08606648874671291,16.363325885791873,0.04243214829149502,0.18708764390133775,31940239.5,2.6869269449894952,55783.71,10.929237170264072,164128360.68598944,18.91615936675834
1261,OLB,2020q4,-66753.0,14377502.0,8161719.0,3824491.0,5752181.0,584980.0,36.994,-0.004642878853364096,16.481175181676278,0.5676729518104049,0.2660052490342203,21640750.12,3.762181704643856,28856.59,10.270093668728663,153482070.38176647,18.84909431283874
1262,OLB,2020q3,-657358.0,14989515.0,8657222.0,4122640.0,5702341.0,584980.0,104.0,-0.04385452097682947,16.52286151465208,0.5775518420709409,0.2750349160730017,60837920.0,10.668937546877677,10840.8,9.291072073008504,149781337.3136051,18.82468703726483
1263,OLB,2020q2,-510409.0,11304369.0,13297716.0,330437.0,-3703824.0,552464.0,77.501,-0.04515148081241863,16.24069984612582,1.176334212020149,0.029230910632871237,42816512.464,-11.56008289378761,9185.35,9.125365102530195,115344676.145677,18.56343538760194
1264,OLB,2020q1,-542207.0,11496096.0,12886467.0,434533.0,-3268011.0,547827.0,150.0,-0.0471644460867411,16.25751805743682,1.1209428835667343,0.03779830996540043,82174050.0,-25.144973502231174,5885.41,8.680231685916738,101664512.290166,18.437188855090522
1265,OLB,2019q4,-61770.0,11868929.0,12886467.0,507616.0,-2800400.0,5471918.0,120.0,-0.005204344890764786,16.289434535050912,1.0857312399459125,0.04276847557180601,656630160.0,-234.47727467504643,7301.07,8.895776191737832,99770100.8933494,18.41837910614857
1266,OLB,2019q3,-401859.0,11508861.0,12740914.0,25472.0,-2804893.0,546650.0,93.0,-0.03491735628747276,16.25862781837313,1.1070525571557428,0.0022132511636034184,50838450.0,-18.124915995013,8193.9,9.011145253980601,100852756.01995,18.42917214990334
1267,OLB,2019q2,-472838.0,11624535.0,12657789.0,55418.0,-2469296.0,546110.0,41.1,-0.04067586359368353,16.268628508637672,1.0888856199409267,0.004767330478165363,22445121.0,-9.089684266284804,11132.85,9.31765547618065,64293187.5738079,17.978964236064808
1268,OLB,2019q1,-406945.0,11771456.0,12570000.0,42845.0,-2062721.0,541412.0,81.0,-0.03457048983575184,16.28118817591876,1.067837317660619,0.0036397366646912666,43854372.0,-21.26044772899486,4048.51,8.306104191173755,46298790.8217788,17.650626402555144
